name,CO,effective_coordination,ss-coupling,dd-coupling,d_sp-coupling,sp_d-coupling,dBandCenter,WorkFunction,IonizationPotential,ElectronAffinity,Pauling,DeltaPauling,filling,center,sigma_c,skewness,kurtosis,AtomicRadius,OrbitalRadius
M-Ni-Cu,-1.438149,9.026055894,10.67514105,9.598866863,10.17876061,9.830647357,-1.29,5.77,7.64,1.16,1.91,1.906994486,0.866845025,-1.058236136,1.225607958,0.370870202,5.860200899,1.38,0.71
M-Ni-Ru,-1.666744,12.78169999,10.92112966,14.1462295,10.59851179,14.27015624,-1.29,5.77,7.64,1.16,1.91,1.992737811,0.870556035,-1.180083304,1.210548241,0.343018922,5.964618415,1.38,0.71
M-Ni-Rh,-1.618728,11.46538683,10.9422014,13.54812125,10.63550837,13.63242637,-1.29,5.77,7.64,1.16,1.91,2.014205656,0.862961577,-1.196839573,1.219834316,0.279196388,6.020930014,1.38,0.71
M-Ni-Pd,-1.69597,10.14943816,11.10334483,13.64052121,10.92259827,13.49891879,-1.29,5.77,7.64,1.16,1.91,1.992737811,0.866354788,-1.127358063,1.156319776,0.284750287,6.080364474,1.38,0.71
M-Ni-Ag,-1.856567,12.8200552,11.26225995,13.67358118,11.21451658,13.31832312,-1.29,5.77,7.64,1.16,1.91,1.91597814,0.882387482,-0.806608553,1.012896015,0.197426914,10.77739629,1.38,0.71
M-Ni-W,-1.34811,20.43979066,11.50296652,20.83490488,11.6718564,19.56885731,-1.29,5.77,7.64,1.16,1.91,2.035152501,0.876965759,-1.419479436,1.364550871,0.938840524,6.339224876,1.38,0.71
M-Ni-Re,-1.540061,16.43363514,11.10340118,17.02103195,10.92272668,16.81658254,-1.29,5.77,7.64,1.16,1.91,1.906994486,0.874576851,-1.302727946,1.340854816,0.432414854,6.112107486,1.38,0.71
M-Ni-Ir,-1.690516,12.7320561,10.99744768,14.87201309,10.73289359,14.87922069,-1.29,5.77,7.64,1.16,1.91,1.992737811,0.864712906,-1.165495492,1.2654327,-0.11765429,6.872548413,1.38,0.71
M-Ni-Pt,-1.781409,12.69277334,11.25102498,15.63308745,11.19319863,15.20656082,-1.29,5.77,7.64,1.16,1.91,2.014205656,0.871043416,-1.175245821,1.251528675,-0.141375267,6.5305769,1.38,0.71
M-Ni-Au,-1.998968,13.04078129,11.46695405,16.32683612,11.60190087,15.50451569,-1.29,5.77,7.64,1.16,1.91,2.080527555,0.877713209,-0.870215748,1.126491871,-0.288753887,9.5331085,1.38,0.71
M-Ni,-1.389181,8.912960588,10.5,9.530330086,9.891905336,9.891905336,-1.29,5.77,7.64,1.16,1.91,1.91,0.867716853,-1.405790032,1.374056827,0.454568849,4.933961105,1.38,0.71
M-Cu,-0.467776,8.923211197,10.5,9.530330086,9.891905336,9.891905336,-2.67,5.3,7.73,1.24,1.9,1.9,0.972215011,-2.383479033,1.049691457,1.120221494,9.923558007,1.41,0.67
M-Ru,-1.783024,9.512211171,10.68091433,9.93908452,10.18823727,10.18823727,-1.41,5.73,7.36,1.05,2.2,2.2,0.705151956,-1.408756268,2.07756513,0.107570537,2.469496521,1.48,1.05
M-Rh,-1.681575,9.156321221,10.56865489,9.682001624,10.00312673,10.00312673,-1.73,5.91,7.46,1.14,2.28,2.28,0.790923346,-1.695593342,1.876600066,0.260073181,3.119721635,1.49,0.99
M-Pd,-1.22526,8.95696662,10.5,9.530330086,9.891905336,9.891905336,-1.83,5.9,8.34,0.56,2.2,2.2,0.917306575,-1.711053007,1.426094341,0.39040219,3.983247775,1.52,0.94
M-Ag,0.036089,8.952543526,10.5,9.530330086,9.891905336,9.891905336,-4.3,5.01,7.58,1.3,1.93,1.93,0.979916496,-3.976128879,1.130815859,2.414728581,16.55953151,1.59,0.89
M-W,-1.770781,8.944225217,10.5,9.530330086,9.891905336,9.891905336,0.77,5.09,7.98,0.86,2.36,2.36,0.472083331,0.145742275,2.544757601,-0.028007911,2.1498664,1.56,1.27
M-Re,-1.569804,10.16516474,10.84970182,10.3482561,10.47454216,10.47454216,-0.51,5.88,7.88,0.15,1.9,1.9,0.606155493,-0.688847766,2.845175922,0.011364061,2.107986715,1.52,1.2
M-Ir,-1.75277,9.260594417,10.5879961,9.725410614,10.03469914,10.03469914,-2.11,6.63,9.1,1.57,2.2,2.2,0.772868279,-2.132659248,2.401270602,0.084761765,2.624798985,1.5,1.08
M-Pt,-1.380699,8.829185938,10.46203703,9.448341401,9.831094474,9.831094474,-2.25,6.74,9,2.13,2.28,2.28,0.877249873,-2.116947967,1.897980076,0.208376842,3.249394845,1.53,1.04
M-Cu-Ni,-0.515961,8.954989862,10.37893448,9.570815344,9.699634879,10.03584225,-2.67,5.3,7.73,1.24,1.9,1.90299449,0.969725041,-2.387534456,1.148638055,0.947712856,7.624793025,1.41,0.67
M-Cu-Ru,-0.828386,12.00557558,10.64397092,13.55947554,10.12685721,14.09638501,-2.67,5.3,7.73,1.24,1.9,1.985428835,0.97050704,-2.197331791,0.995456042,1.176670518,9.989445629,1.41,0.67
M-Cu-Rh,-0.817033,11.01213421,10.70661998,13.18406289,10.23126015,13.59994262,-2.67,5.3,7.73,1.24,1.9,2.00681794,0.969396229,-1.99238033,0.990872828,0.925097108,9.539841707,1.41,0.67
M-Cu-Pd,-0.783075,10.32795863,11.00711571,13.90146266,10.75006367,13.89367072,-2.67,5.3,7.73,1.24,1.9,1.985428835,0.975137516,-1.742947186,0.948210253,0.787343758,9.614806841,1.41,0.67
M-Cu-Ag,-0.705262,13.55449086,11.22261264,14.19359228,11.14067257,13.87032649,-2.67,5.3,7.73,1.24,1.9,1.908950703,0.977176791,-1.966507399,0.859995506,0.832164835,17.06551655,1.41,0.67
M-Cu-W,-0.873944,17.31785039,11.0431471,18.66052388,10.81430321,18.56396785,-2.67,5.3,7.73,1.24,1.9,2.027687956,0.96804238,-2.53649939,1.058731229,1.989933569,12.60691801,1.41,0.67
M-Cu-Re,-0.968921,14.18644731,10.69121173,15.49987547,10.20545073,16.08027116,-2.67,5.3,7.73,1.24,1.9,1.9,0.970238021,-2.367967184,1.069483614,1.360354503,10.86666059,1.41,0.67
M-Cu-Ir,-0.828,12.24582316,10.78795736,14.58620495,10.36872429,14.94083471,-2.67,5.3,7.73,1.24,1.9,1.985428835,0.970182256,-2.180857203,1.069064669,0.592670277,9.898174283,1.41,0.67
M-Cu-Pt,-0.860214,12.24588943,11.04227509,15.37746416,10.81274306,15.30744506,-2.67,5.3,7.73,1.24,1.9,2.00681794,0.973768952,-1.865943489,1.02284741,0.397168387,9.925820353,1.41,0.67
M-Cu-Au,-0.835183,13.32162448,11.36340852,16.67565001,11.4042337,16.00239446,-2.67,5.3,7.73,1.24,1.9,2.072896583,0.976474444,-1.940017797,0.95530139,0.185319281,13.171104,1.41,0.67
M-Ag-Cu,-0.556632,7.058377283,9.836833836,7.486612254,8.898009733,7.892897435,-4.3,5.01,7.58,1.3,1.93,1.9209506,0.975235298,-4.65240976,1.618581284,1.153901993,6.991143598,1.59,0.89
M-Ag-Ru,-0.025417,8.333982411,9.993499536,9.25419303,9.11974265,9.997769117,-4.3,5.01,7.58,1.3,1.93,2.007321427,0.975241498,-4.157482253,1.394408324,1.574056339,8.809046198,1.59,0.89
M-Ag-Rh,0.01515,7.922440641,10.05279798,9.102311128,9.205783221,9.760987872,-4.3,5.01,7.58,1.3,1.93,2.028946383,0.975346915,-4.039046177,1.397757125,1.524391287,8.675612065,1.59,0.89
M-Ag-Pd,0.017204,7.611849478,10.33214734,9.449031206,9.626639484,9.936508159,-4.3,5.01,7.58,1.3,1.93,2.007321427,0.978561815,-3.890840265,1.289041951,1.690079212,9.657074595,1.59,0.89
M-Ag-W,-0.21587,9.922700771,10.22255301,11.04643207,9.458465159,11.89527375,-4.3,5.01,7.58,1.3,1.93,2.050046524,0.973831851,-4.224772001,1.332391612,2.425214504,13.22258645,1.59,0.89
M-Ag-Re,-0.141771,8.825965552,9.949970639,9.858222737,9.05733591,10.78663174,-4.3,5.01,7.58,1.3,1.93,1.9209506,0.976088805,-4.193392675,1.401676415,1.745822955,9.633915769,1.59,0.89
M-Ag-Ir,0.005549,8.208817842,10.10060896,9.650629377,9.275994048,10.37918938,-4.3,5.01,7.58,1.3,1.93,2.007321427,0.974742337,-4.050081707,1.412557454,1.419228207,8.272261257,1.59,0.89
M-Ag-Pt,-0.077767,8.071262888,10.28754857,9.900661667,9.557727629,10.49404788,-4.3,5.01,7.58,1.3,1.93,2.028946383,0.977788357,-3.798836483,1.282627559,1.533093873,9.085939231,1.59,0.89
M-Ag-Au,-0.000888,8.325660729,10.53352544,10.35672099,9.946003982,10.77039751,-4.3,5.01,7.58,1.3,1.93,2.09575365,0.980175398,-3.914556622,1.164345849,2.117628331,14.36222929,1.59,0.89
M-Pd-Cu,-0.600751,8.564985074,10.2706325,7.83802567,9.531755429,8.125254993,-1.83,5.9,8.34,0.56,2.2,2.105338619,0.9189852,-2.353911764,1.821104281,0.340387909,3.281089258,1.52,0.94
M-Pd-Ru,-1.010344,10.76433726,10.28346539,9.635982663,9.551448079,10.19273716,-1.83,5.9,8.34,0.56,2.2,2.2,0.917089292,-2.118855073,1.576478982,0.469674088,3.684657637,1.52,0.94
M-Pd-Rh,-0.981672,9.807760509,10.30874405,9.383368476,9.590393834,9.880637721,-1.83,5.9,8.34,0.56,2.2,2.223700689,0.918316275,-2.090893066,1.575088437,0.427053985,3.791725893,1.52,0.94
M-Pd-Ag,-1.089322,12.31166525,10.81934578,9.936330302,10.42235671,10.07424367,-1.83,5.9,8.34,0.56,2.2,2.115256651,0.930380807,-1.443906838,1.247186083,0.208352622,5.958382321,1.52,0.94
M-Pd-W,-0.843815,17.37886636,10.86005287,12.8693593,10.49240681,13.05493274,-1.83,5.9,8.34,0.56,2.2,2.24682619,0.917364867,-2.554874087,1.658561582,1.007252263,4.903445023,1.52,0.94
M-Pd-Re,-0.927973,13.36141881,10.44623816,10.92516181,9.805928756,11.48960054,-1.83,5.9,8.34,0.56,2.2,2.105338619,0.915782986,-2.363674485,1.686681739,0.589650934,3.998990149,1.52,0.94
M-Pd-Ir,-1.041173,10.5539772,10.37117723,10.01153804,9.687500614,10.54125569,-1.83,5.9,8.34,0.56,2.2,2.2,0.920662936,-2.196915815,1.624636938,0.279053745,3.942472658,1.52,0.94
M-Pd-Pt,-1.281665,10.3146106,10.55256131,10.24301072,9.976885188,10.62808452,-1.83,5.9,8.34,0.56,2.2,2.223700689,0.914858546,-1.781912561,1.486097078,0.20032552,4.153883,1.52,0.94
M-Pd-Au,-1.297668,11.38437992,10.87560438,10.91553122,10.51931359,11.03341522,-1.83,5.9,8.34,0.56,2.2,2.296920647,0.92886193,-1.458109199,1.326671376,-0.040530337,5.442552309,1.52,0.94
M-Pt-Ni,-1.587175,7.426335366,9.957367959,7.397473328,9.068110836,7.730650149,-2.25,6.74,9,2.13,2.28,2.162043378,0.867128993,-3.064217759,2.718108205,0.189250655,2.600397266,1.53,1.04
M-Pt-Cu,-0.575288,7.662991784,10.18937064,7.49789121,9.408325801,7.762395223,-2.25,6.74,9,2.13,2.28,2.158641257,0.872366033,-2.60202812,2.415511291,0.200432902,2.761208714,1.53,1.04
M-Pt-Ru,-1.007756,9.265155985,10.23391137,9.025626934,9.475710222,9.525960971,-2.25,6.74,9,2.13,2.28,2.25569926,0.872598622,-2.460556325,2.074140352,0.342065031,3.070153781,1.53,1.04
M-Pt-Rh,-0.959464,8.570834672,10.24845254,8.796362398,9.497854149,9.248661635,-2.25,6.74,9,2.13,2.28,2.28,0.872152376,-2.419532377,2.070754906,0.30326435,3.10001472,1.53,1.04
M-Pt-Pd,-1.318066,7.983763315,10.4313306,8.907003357,9.782275466,9.250086555,-2.25,6.74,9,2.13,2.28,2.25569926,0.87530344,-2.016570198,1.87542315,0.300490154,3.282096291,1.53,1.04
M-Pt-Ag,-1.175687,10.33671578,10.74302957,9.235115753,10.29251313,9.398181988,-2.25,6.74,9,2.13,2.28,2.168810392,0.885268848,-1.574040786,1.597512285,0.222292958,4.200984836,1.53,1.04
M-Pt-W,-0.988301,14.34444856,10.85557251,11.88760576,10.48466987,12.05182069,-2.25,6.74,9,2.13,2.28,2.303710988,0.872566417,-2.748113905,2.108451796,0.773645246,3.69350972,1.53,1.04
M-Pt-Re,-1.0047,11.00617541,10.38351225,10.06885609,9.706825105,10.59434872,-2.25,6.74,9,2.13,2.28,2.158641257,0.87729637,-2.749695277,2.159549624,0.473622631,3.207215355,1.53,1.04
M-Pt-Ir,-1.026726,8.934066889,10.27305384,9.237399084,9.53546612,9.741384168,-2.25,6.74,9,2.13,2.28,2.25569926,0.878098901,-2.529954085,2.088455751,0.252525545,3.128186282,1.53,1.04
M-Pt-Au,-1.450414,9.42196038,10.74032296,9.904769896,10.2879428,10.10375132,-2.25,6.74,9,2.13,2.28,2.355073729,0.882532225,-1.588520367,1.648511912,0.099651966,4.011627301,1.53,1.04
M-Rh-Ni,-1.579709,7.687661644,10.17725019,7.745421378,9.390139347,8.05898485,-1.73,5.91,7.46,1.14,2.28,2.162043378,0.801435364,-2.168214815,2.328185964,0.237333329,2.540523069,1.49,0.99
M-Rh-Cu,-1.38618,7.751867046,10.33534932,7.772682361,9.631592855,8.021885529,-1.73,5.91,7.46,1.14,2.28,2.158641257,0.801283292,-1.761543119,2.073841435,0.223436803,2.779743291,1.49,0.99
M-Rh-Ru,-1.67621,10.11174174,10.58674402,10.0660986,10.0326572,10.40476215,-1.73,5.91,7.46,1.14,2.28,2.25569926,0.790191135,-1.703406304,1.894038186,0.286064654,2.971491545,1.49,0.99
M-Rh-Pd,-1.875418,8.130967125,10.64035843,9.557267537,10.12087029,9.81265873,-1.73,5.91,7.46,1.14,2.28,2.25569926,0.790118304,-1.446756674,1.705788278,0.297613434,3.371170958,1.49,0.99
M-Rh-Ag,-1.986358,9.70223202,10.79392836,9.588636933,10.3789387,9.732510884,-1.73,5.91,7.46,1.14,2.28,2.168810392,0.80389591,-1.046978493,1.441191094,0.21436859,4.823315273,1.49,0.99
M-Rh-W,-1.052658,15.08036663,11.14760529,13.46613591,11.00295353,13.26907682,-1.73,5.91,7.46,1.14,2.28,2.303710988,0.800062966,-1.855410905,1.985517764,0.629165442,3.395271265,1.49,0.99
M-Rh-Re,-1.336554,12.63567697,10.8056123,11.65664904,10.39885674,11.87028107,-1.73,5.91,7.46,1.14,2.28,2.158641257,0.794277281,-1.906588421,2.060648411,0.358664621,3.029484584,1.49,0.99
M-Rh-Ir,-1.686578,9.807001445,10.6242554,10.33873494,10.09428065,10.66509455,-1.73,5.91,7.46,1.14,2.28,2.25569926,0.790551644,-1.727828302,1.938099496,0.103456388,3.252867326,1.49,0.99
M-Rh-Pt,-1.938228,9.341862559,10.75186476,10.42279798,10.30741121,10.63781639,-1.73,5.91,7.46,1.14,2.28,2.28,0.790657505,-1.508944362,1.778466137,0.088497384,3.552333017,1.49,0.99
M-Rh-Au,-2.128855,9.218969224,10.87420918,10.54455239,10.51701866,10.65458705,-1.73,5.91,7.46,1.14,2.28,2.355073729,0.804687201,-1.134393917,1.522274352,-0.011877797,4.621625188,1.49,0.99
M-Ir-Cu,-1.550453,7.364943673,10.24351466,7.466423121,9.490282505,7.705442772,-2.11,6.63,9.1,1.57,2.2,2.105338619,0.777619152,-2.19568265,2.628837546,0.129642212,2.463258217,1.5,1.08
M-Ir-Ru,-1.79767,9.550627773,10.56027746,9.511608819,9.989433555,9.824366907,-2.11,6.63,9.1,1.57,2.2,2.2,0.76861681,-2.069050411,2.365006146,0.206508967,2.531403452,1.5,1.08
M-Ir-Rh,-1.79953,8.736278948,10.54667834,9.188433192,9.967342821,9.481904766,-2.11,6.63,9.1,1.57,2.2,2.223700689,0.76542852,-2.057662739,2.353331228,0.181319502,2.604666447,1.5,1.08
M-Ir-Pd,-2.156304,7.920451806,10.63791244,9.117489196,10.11685613,9.342888086,-2.11,6.63,9.1,1.57,2.2,2.2,0.773611326,-1.790214459,2.119990295,0.176454331,2.802002881,1.5,1.08
M-Ir-Ag,-2.331695,9.2420887,10.73333363,9.03963899,10.2761377,9.19890291,-2.11,6.63,9.1,1.57,2.2,2.115256651,0.781659408,-1.246867767,1.772412035,0.084933009,3.56049652,1.5,1.08
M-Ir-W,-1.19434,13.92056025,11.09528937,12.36735713,10.90802046,12.25858727,-2.11,6.63,9.1,1.57,2.2,2.24682619,0.775265746,-2.146394439,2.361573012,0.487172356,2.8329977,1.5,1.08
M-Ir-Re,-1.48295,11.66533463,10.76033457,10.83505846,10.32178518,11.06173509,-2.11,6.63,9.1,1.57,2.2,2.105338619,0.774317592,-2.235379786,2.505910955,0.285530103,2.553143033,1.5,1.08
M-Ir-Pt,-2.15907,9.031656841,10.75171733,9.881584023,10.30729071,10.07022633,-2.11,6.63,9.1,1.57,2.2,2.223700689,0.76790373,-1.86412033,2.198937731,0.041759752,2.800750616,1.5,1.08
M-Ir-Au,-2.502777,8.971760515,10.86298842,9.96249421,10.49742502,10.06733887,-2.11,6.63,9.1,1.57,2.2,2.296920647,0.777001083,-1.344036495,1.871552043,-0.071161526,3.455312623,1.5,1.08
M-Re-Ru,-1.62014,8.917476563,10.76362411,9.385437463,10.32736256,9.541892395,-0.51,5.88,7.88,0.15,1.9,1.985428835,0.574308668,-0.931227642,2.75613121,-0.0216119,2.094766819,1.52,1.2
M-Re-Rh,-1.807634,8.303540428,10.7724283,9.115439414,10.34229761,9.253872325,-0.51,5.88,7.88,0.15,1.9,2.00681794,0.576773122,-0.984664013,2.753575025,-0.044945269,2.15932007,1.52,1.2
M-Re-Pd,-2.040212,7.585432051,10.84974234,9.014703449,10.47460967,9.102237678,-0.51,5.88,7.88,0.15,1.9,1.985428835,0.574621899,-0.868016773,2.510034337,-0.07599767,2.343286454,1.52,1.2
M-Re-Ag,-2.496507,8.117927619,10.75124215,8.62279878,10.30640051,8.750600766,-0.51,5.88,7.88,0.15,1.9,1.908950703,0.571172513,-0.505802558,2.084983247,-0.127469947,3.056111485,1.52,1.2
M-Re-W,-1.939345,11.10199375,11.06433,11.3443878,10.85227131,11.28297784,-0.51,5.88,7.88,0.15,1.9,2.027687956,0.594215548,-0.485242836,2.617164359,0.117069259,2.21675972,1.52,1.2
M-Re-Ir,-1.842352,8.678292656,10.77588043,9.556962994,10.34816716,9.712530209,-0.51,5.88,7.88,0.15,1.9,1.985428835,0.575621832,-0.967175235,2.82512265,-0.160272779,2.260070136,1.52,1.2
M-Re-Pt,-1.966093,8.470238071,10.94687728,9.708391577,10.64365024,9.746602694,-0.51,5.88,7.88,0.15,1.9,2.00681794,0.575737705,-0.943664575,2.644841188,-0.22106258,2.431582131,1.52,1.2
M-Re-Au,-2.512565,8.289493258,11.02911024,9.716872501,10.78924146,9.698085301,-0.51,5.88,7.88,0.15,1.9,2.072896583,0.571197922,-0.667894298,2.264508663,-0.370140268,3.131946306,1.52,1.2
M-Co-Ni,-1.45942,8.646731981,10.61034182,9.409422359,10.0712654,9.67617815,-1.17,5.76,7.88,0.66,1.88,1.888950184,0.764968458,-1.407123495,1.696905118,0.331138579,3.291111651,1.39,0.76
M-Co-Cu,-1.510034,8.314569863,10.60764946,9.120799055,10.06708523,9.366472618,-1.17,5.76,7.88,0.66,1.88,1.885977793,0.767785412,-1.255466424,1.555699673,0.332129685,3.577678544,1.39,0.76
M-Co-Ru,-1.683516,11.555075,10.92623266,13.37684914,10.60738318,13.48200362,-1.17,5.76,7.88,0.66,1.88,1.970776154,0.767571724,-1.293449909,1.55462477,0.272732934,3.387461322,1.39,0.76
M-Co-Rh,-1.666663,10.55936273,10.96890284,12.91932427,10.6825178,12.96164463,-1.17,5.76,7.88,0.66,1.88,1.992007405,0.765290654,-1.319041407,1.583763095,0.238913443,3.361833107,1.39,0.76
M-Co-Pd,-1.669516,9.438289502,11.12839807,12.99453825,10.96800938,12.83366698,-1.17,5.76,7.88,0.66,1.88,1.970776154,0.763138193,-1.346802975,1.534403123,0.231709356,3.292452398,1.39,0.76
M-Co-Ag,-1.75459,11.06771082,11.17309629,12.60347016,11.04972263,12.39929482,-1.17,5.76,7.88,0.66,1.88,1.89486244,0.763729717,-1.081433987,1.385695032,0.229130489,4.513124476,1.39,0.76
M-Co-W,-1.597898,18.68764598,11.60848677,20.13601743,11.87900653,18.69957342,-1.17,5.76,7.88,0.66,1.88,2.012723398,0.779125762,-1.090060376,1.547535423,0.55101927,4.426473731,1.39,0.76
M-Co-Re,-1.689156,14.85260077,11.14988958,16.20784188,11.00711103,15.93433274,-1.17,5.76,7.88,0.66,1.88,1.885977793,0.775580294,-1.146844487,1.591088888,0.241684027,3.99177185,1.39,0.76
M-Co-Ir,-1.780607,11.67931885,11.03431583,14.17787111,10.79852367,14.12873359,-1.17,5.76,7.88,0.66,1.88,1.970776154,0.768814849,-1.312763448,1.622768159,0.013992203,3.797230986,1.39,0.76
M-Ru-Cu,-2.01781,7.346276881,10.33034717,7.617769822,9.623835592,7.847126936,-1.41,5.73,7.36,1.05,2.2,2.105338619,0.705855953,-1.468331863,2.24441211,0.119798051,2.45040762,1.48,1.05
M-Ru-Rh,-1.784157,8.719232751,10.67045812,9.58399584,10.17084384,9.818499814,-1.41,5.73,7.36,1.05,2.2,2.223700689,0.702777606,-1.392255456,2.062754696,0.080932091,2.590145843,1.48,1.05
M-Ru-Pd,-1.992136,7.90635697,10.77578216,9.528836401,10.34813337,9.683076065,-1.41,5.73,7.36,1.05,2.2,2.2,0.689615572,-1.210983216,1.857442289,0.041799745,2.850627719,1.48,1.05
M-Ru-Ag,-2.192759,8.822226376,10.78749538,9.272988389,10.36786653,9.40855585,-1.41,5.73,7.36,1.05,2.2,2.115256651,0.713357679,-0.867884757,1.631352078,0.008219568,3.759661947,1.48,1.05
M-Ru-W,-1.358179,13.24110719,11.17858761,12.95166884,11.05962132,12.73038095,-1.41,5.73,7.36,1.05,2.2,2.24682619,0.720521791,-1.238157003,2.108453805,0.362928085,2.781462959,1.48,1.05
M-Ru-Re,-1.381117,11.54060073,10.87746977,11.39793643,10.52252661,11.52546779,-1.41,5.73,7.36,1.05,2.2,2.105338619,0.720730914,-1.50047294,2.244796052,0.161184551,2.545244006,1.48,1.05
M-Ru-Ir,-1.835338,9.259548824,10.71320238,10.18850102,10.24224903,10.42535223,-1.41,5.73,7.36,1.05,2.2,2.2,0.70102368,-1.375524276,2.135450081,-0.098971071,2.780139092,1.48,1.05
M-Ru-Pt,-1.965613,8.92239626,10.86345396,10.32028195,10.49826171,10.43415407,-1.41,5.73,7.36,1.05,2.2,2.223700689,0.699912572,-1.325796352,1.962953425,-0.155380023,3.062155031,1.48,1.05
M-Ru-Au,-2.314685,8.545616226,10.90252086,10.22816963,10.56602732,10.30761239,-1.41,5.73,7.36,1.05,2.2,2.296920647,0.710445426,-0.952082296,1.728208459,-0.209249856,3.729918842,1.48,1.05
M-Cr-Ni,-1.779022,8.124086359,10.60890536,8.643675705,10.06907984,8.851149379,0.16,5.27,6.77,0.67,1.66,1.731353191,0.500449118,-0.219806984,1.927576336,-0.209266557,2.745413673,1.42,0.9
M-Cr-Cu,-2.561625,7.632455818,10.5,8.267585931,9.891905336,8.499831338,0.16,5.27,6.77,0.67,1.66,1.72862879,0.498405961,-0.111875952,1.73519681,-0.210974782,3.272450331,1.42,0.9
M-Cr-Ru,-1.972485,10.98124517,11.08014928,12.23940231,10.88053168,12.15017284,0.16,5.27,6.77,0.67,1.66,1.806352339,0.500219478,-0.023820386,1.716728537,-0.492922716,3.290644278,1.42,0.9
M-Cr-Re,-2.016925,12.21797645,11.02139321,13.37951074,10.77557994,13.35248637,0.16,5.27,6.77,0.67,1.66,1.72862879,0.501291971,0.102715054,1.798046956,-0.423422992,3.489773054,1.42,0.9
M-Cr-Ir,-2.039879,10.88389689,11.13462931,12.70705634,10.97929902,12.54545861,0.16,5.27,6.77,0.67,1.66,1.806352339,0.491904424,-0.139160955,1.819279978,-0.827166585,4.280983414,1.42,0.9
M-Mo-Ru,-1.525702,8.373125974,10.57504986,9.025341763,10.01352711,9.285021985,0.35,5.09,7.09,0.75,2.16,2.171923028,0.502113039,-0.176277877,2.50400019,-0.09664895,2.064209739,1.55,1.2
M-Mo-Rh,-1.642892,7.929843642,10.62097423,8.847784652,10.08888383,9.063978364,0.35,5.09,7.09,0.75,2.16,2.195321243,0.501300361,-0.284343549,2.513953433,-0.121544693,2.135785207,1.55,1.2
M-Mo-Pd,-1.782794,7.297797671,10.71252504,8.7826729,10.24114825,8.940379359,0.35,5.09,7.09,0.75,2.16,2.171923028,0.492277054,-0.200417879,2.318209776,-0.143019192,2.352983127,1.55,1.2
M-Mo-Ag,-1.883678,7.631193145,10.57871211,8.366153401,10.01951573,8.567360611,0.35,5.09,7.09,0.75,2.16,2.088261196,0.499621974,-0.067309063,1.939287341,-0.158306537,3.123079308,1.55,1.2
M-Mo-W,-1.580744,8.965732725,10.55291444,9.97049528,9.977464714,10.33051999,0.35,5.09,7.09,0.75,2.16,2.21815161,0.505113528,0.077870482,2.304237443,0.047362712,2.213542431,1.55,1.2
M-Mo-Re,-1.367754,8.625380557,10.42047129,9.360055262,9.765060129,9.765060129,0.35,5.09,7.09,0.75,2.16,2.07846974,0.515905281,-0.177865345,2.522845618,-0.054455581,2.164888416,1.55,1.2
M-Mo-Ir,-1.616256,8.29969504,10.66036292,9.322343228,10.15404998,9.546790055,0.35,5.09,7.09,0.75,2.16,2.171923028,0.500705644,-0.29553609,2.611348028,-0.256227211,2.356872036,1.55,1.2
M-Mo-Pt,-1.856397,8.134947581,10.85318655,9.515290687,10.48053738,9.614999525,0.35,5.09,7.09,0.75,2.16,2.195321243,0.499868173,-0.287598183,2.463121213,-0.331457021,2.567788664,1.55,1.2
M-Mo-Au,-1.88898,7.825050448,10.89423562,9.444050323,10.55143556,9.514459546,0.35,5.09,7.09,0.75,2.16,2.267606748,0.500055243,-0.190669897,2.110840019,-0.455818011,3.361214732,1.55,1.2
M-W-Cu,-1.889888,6.734344618,10.06404706,7.021012722,9.222233915,7.234706502,0.77,5.09,7.98,0.86,2.36,2.211385626,0.481185275,-0.422482184,2.917473695,-0.098174224,1.939121041,1.56,1.27
M-W-Ru,-1.610686,8.376072305,10.54619413,8.730276459,9.966544163,8.981883427,0.77,5.09,7.98,0.86,2.36,2.310815151,0.471964373,-0.119009773,2.752882872,-0.160925796,1.991261862,1.56,1.27
M-W-Rh,-1.696952,7.979608602,10.61402982,8.604640835,10.07741244,8.806285584,0.77,5.09,7.98,0.86,2.36,2.335709656,0.471360142,-0.254370678,2.772357778,-0.191151268,2.041060432,1.56,1.27
M-W-Pd,-1.877965,7.422413096,10.74876312,8.610991104,10.30220619,8.739538572,0.77,5.09,7.98,0.86,2.36,2.310815151,0.467264036,-0.194667218,2.606101633,-0.221261505,2.242750182,1.56,1.27
M-W-Ag,-2.042376,7.79781042,10.60375962,8.206451833,10.06054756,8.382122166,0.77,5.09,7.98,0.86,2.36,2.221803235,0.46232568,0.094101102,2.245773011,-0.200388137,2.844998341,1.56,1.27
M-Mn-Pd,-1.878369,7.636659739,10.81793728,10.87845589,10.41991998,11.05078068,0.07,5.45,7.43,0,1.55,1.721706,0.532893506,-0.422744004,2.365326066,0.14632736,1.870783917,1.43,0.86
M-Mn-Ag,-1.09379,8.105842616,10.72108399,10.24683082,10.25548424,10.48008602,0.07,5.45,7.43,0,1.55,1.655386394,0.547627312,-0.628521096,2.287987698,0.182539487,1.831480693,1.43,0.86
M-Mn-Au,-1.408438,8.355673525,11.03296028,12.13962218,10.79614722,12.10417668,0.07,5.45,7.43,0,1.55,1.797555481,0.548954393,-0.599014073,2.341993812,0.093120545,1.930169858,1.43,0.86
